Company,Ticker,DATE,EPS_MEAN_EST,EPS_ACT,EPS_STD_EST,FISC_YEAR,FISC_QTR,CAL_YEAR,CAL_QTR,ACT_RPT_CODE,SALES_ACT,SALES_MEAN_EST,SALES_AMT_DIFF_SURP,SALES_PCT_DIFF_SURP,SALES_STD_DEV_EST
3M Co,MMM,10/22/15,2.01,2.05,0.04,2015,3,2015,3,BTO,7712,7895.318,-183.318,-2.321,141.242
AFLAC Inc,AFL,10/27/15,1.48,1.56,0.02,2015,3,2015,3,AMC,5040,5111.017,-71.017,-1.389,26.515
AMETEK Inc,AME,10/27/15,0.65,0.65,0.01,2015,3,2015,3,BTO,998.527,1035.039,-36.512,-3.527,1.505
AT&T Inc,T,10/22/15,0.68,0.74,0.03,2015,3,2015,3,AMC,39091,40991.71,-1900.71,-4.636,1639.008
AbbVie Inc.,ABBV,10/30/15,1.07,1.13,0.01,2015,3,2015,3,BTO,5944,5894.412,49.588,0.841,88.736
Abbott Laboratories,ABT,10/21/15,0.53,0.54,0.01,2015,3,2015,3,BTO,5150,5145.422,4.578,0.088,55.782
Accenture plc A,ACN,12/17/15,1.31,1.28,0.02,2016,1,2015,4,BTO,8364.511,7648.131,240.374,3.142,66.606
Activision Blizzard Inc,ATVI,11/2/15,0.13,0.18,0,2015,3,2015,3,AMC,990,946.666,93.334,9.859,15.396
Adobe Systems Inc,ADBE,9/17/15,0.35,0.39,0.03,2015,3,2015,3,AMC,1217.768,1210.377,7.391,0.61,11.098
Advance Auto Parts Inc,AAP,11/12/15,2.06,1.95,0.09,2015,3,2015,3,BTO,2295.203,2327.099,-31.896,-1.37,7.327
Aetna Inc,AET,10/29/15,1.78,1.9,0.04,2015,3,2015,3,BTO,14953,15160.003,-173.903,-1.147,191.406
Affiliated Managers Grp,AMG,11/9/15,2.87,2.93,0.03,2015,3,2015,3,BTO,613.1,631.458,-18.358,-2.907,8.368
Air Products & Chemicals Inc,APD,10/29/15,1.8,1.82,0.03,2015,4,2015,3,BTO,2449.4,2560.565,-111.165,-4.341,52.269
Airgas Inc,ARG,10/27/15,1.29,1.31,0.01,2016,2,2015,3,BTO,1374.569,1383.501,-8.932,-0.645,14.379
Akamai Technologies Inc,AKAM,10/27/15,0.47,0.53,0.01,2015,3,2015,3,AMC,551.03,549.655,1.375,0.25,3.105
Alcoa Inc,AA,10/8/15,0.14,0.07,0.02,2015,3,2015,3,AMC,5573,5670.433,-97.433,-1.718,43.697
Alexion Pharmaceuticals Inc,ALXN,10/29/15,0.78,0.93,0.06,2015,3,2015,3,BTO,666.637,667.355,-0.718,-0.107,4.717
Allegion plc,ALLE,10/29/15,0.77,0.92,0.02,2015,3,2015,3,BTO,544.5,532.775,11.725,2.2,6.845
Allergan plc,AGN,11/4/15,3.2,3.48,0.12,2015,3,2015,3,BTO,4088.9,4091.6,-6.4,-0.156,0
Alliance Data Systems Corp,ADS,10/22/15,3.68,3.73,0.03,2015,3,2015,3,BTO,1589.1,1561.651,27.449,1.757,33.783
Allstate Corp,ALL,11/2/15,1.32,1.52,0.1,2015,3,2015,3,AMC,9028,7957.2,1037.8,13.042,76.929
Alphabet Inc A,GOOGL,10/22/15,5.87,5.73,0.29,2015,3,2015,3,AMC,18675,15087.368,21.632,0.143,214.087
Altria Group Inc,MO,10/29/15,0.76,0.75,0.01,2015,3,2015,3,BTO,6699,4977.5,-619.5,-12.446,65.76
Amazon.com Inc,AMZN,10/22/15,-0.1,0.17,0.21,2015,3,2015,3,AMC,25358,24851.269,506.731,2.039,353.079
American Airlines Group Inc.,AAL,10/23/15,2.72,2.77,0.07,2015,3,2015,3,BTO,10706,10723.38,-17.38,-0.162,35.332
American Express Co,AXP,10/21/15,1.31,1.24,0.02,2015,3,2015,3,AMC,8193,8382.421,-189.421,-2.259,174.637
American Intl Group Inc,AIG,11/2/15,1.03,0.52,0.14,2015,3,2015,3,AMC,12822,13060,104,0.796,0
American Tower Corp A,AMT,10/29/15,1.24,1.31,0.02,2015,3,2015,3,BTO,1237.91,1215.652,22.258,1.83,15.78
Ameriprise Financial Inc,AMP,10/21/15,2.34,2.35,0.06,2015,3,2015,3,AMC,2886,2987,-101,-3.381,0
AmerisourceBergen Corp,ABC,10/29/15,1.18,1.17,0.02,2015,4,2015,3,BTO,35470.38,34433.91,1036.47,3.01,532.905
Amgen Inc,AMGN,10/28/15,2.38,2.72,0.07,2015,3,2015,3,AMC,5723,5312.938,410.062,7.718,64.549
Amphenol Corp A,APH,10/21/15,0.65,0.65,0,2015,3,2015,3,BTO,1459.6,1458.833,0.767,0.052,1.767
Anadarko Petroleum Corp,APC,10/27/15,-0.72,-0.72,0.05,2015,3,2015,3,AMC,1688,2266.516,-578.516,-25.524,178.945
Anthem Inc,ANTM,10/28/15,2.33,2.73,0.09,2015,3,2015,3,BTO,19901.6,19705.886,65.514,0.332,158.22
Aon plc,AON,10/30/15,1.23,1.24,0.02,2015,3,2015,3,BTO,2742,2847.35,-105.35,-3.699,68.348
Apache Corp,APA,11/5/15,-0.38,-0.05,0.13,2015,3,2015,3,BTO,1496,1588.523,-92.523,-5.824,77.232
Apartment Investment & Mgmt,AIV,11/3/15,0.57,0.57,0.01,2015,3,2015,3,AMC,246.387,239.043,7.344,3.072,3.248
Apple Inc.,AAPL,10/27/15,1.88,1.96,0.04,2015,4,2015,3,AMC,51501,50846.022,654.978,1.288,477.81
Applied Materials Inc,AMAT,8/13/15,0.33,0.33,0,2015,3,2015,3,AMC,2490,2537.57,-47.57,-1.874,5.35
